Name|Ed.|Type|R|Mana cost|CMC|P|T|L|Ability
409899|Burn from Within|SOI|Sorcery|R|XR|1||||Burn from Within deals X damage to target creature or player. If a creature is dealt damage this way, it loses indestructible until end of turn. If that creature would die this turn, exile it instead.
409746|Bygone Bishop|SOI|Creature - Spirit Cleric|R|2W|3|2|3||"Flying  Whenever you cast a creature spell with converted mana cost 3 or less, investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409954|Byway Courier|SOI|Creature - Human Scout|C|2G|3|3|2||"When Byway Courier dies, investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409850|Call the Bloodline|SOI|Enchantment|U|1B|2||||1, Discard a card: Create a 1/1 black Vampire Knight creature token with lifelink. Activate this ability only once each turn.
409793|Catalog|SOI|Instant|C|2U|3||||Draw two cards, then discard a card.
409747|Cathar's Companion|SOI|Creature - Hound|C|2W|3|3|1||"Whenever you cast a noncreature spell, Cathar's Companion gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
409748|Chaplain's Blessing|SOI|Sorcery|C|W|1||||You gain 5 life.
410038|Choked Estuary|SOI|Land|R||0||||As Choked Estuary enters the battlefield, you may reveal an Island or Swamp card from your hand. If you don't, Choked Estuary enters the battlefield tapped.  T: Add U or B to your mana pool.
409955|Clip Wings|SOI|Instant|C|1G|2||||Each opponent sacrifices a creature with flying.
409794|Compelling Deterrence|SOI|Instant|U|1U|2||||Return target nonland permanent to its owner's hand. Then that player discards a card if you control a Zombie.
409795|Confirm Suspicions|SOI|Instant|R|3UU|5||||"Counter target spell.  Investigate three times. (To investigate, create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409956|Confront the Unknown|SOI|Instant|C|G|1||||"Investigate, then target creature gets +1/+1 until end of turn for each Clue you control. (To investigate, create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409900|Convicted Killer|SOI|Creature - Human Werewolf|C|2R|3|2|2||At the beginning of each upkeep, if no spells were cast last turn, transform Convicted Killer.
410018|Corrupted Grafstone|SOI|Artifact|R|2|2||||Corrupted Grafstone enters the battlefield tapped.  T: Choose a color of a card in your graveyard. Add one mana of that color to your mana pool.
409957|Crawling Sensation|SOI|Enchantment|U|2G|3||||At the beginning of your upkeep, you may put the top two cards of your library into your graveyard.  Whenever one or more land cards are put into your graveyard from anywhere for the first time each turn, create a 1/1 green Insect creature token.
409851|Creeping Dread|SOI|Enchantment|U|3B|4||||At the beginning of your upkeep, each player discards a card. Each opponent who discarded a card that shares a card type with the card you discarded loses 3 life. (Players reveal the discarded cards simultaneously.)
409852|Crow of Dark Tidings|SOI|Creature - Zombie Bird|C|2B|3|2|1||Flying  When Crow of Dark Tidings enters the battlefield or dies, put the top two cards of your library into your graveyard.
409958|Cryptolith Rite|SOI|Enchantment|R|1G|2||||"Creatures you control have ""T: Add one mana of any color to your mana pool."""
409959|Cult of the Waxing Moon|SOI|Creature - Human Shaman|U|4G|5|5|4||Whenever a permanent you control transforms into a non-Human creature, create a 2/2 green Wolf creature token.
409902|Dance with Devils|SOI|Instant|U|3R|4||||"Create two 1/1 red Devil creature tokens. They have ""When this creature dies, it deals 1 damage to target creature or player."""
409796|Daring Sleuth|SOI|Creature - Human Rogue|U|1U|2|2|1||When you sacrifice a Clue, transform Daring Sleuth.
409749|Dauntless Cathar|SOI|Creature - Human Soldier|C|2W|3|3|2||1W, Exile Dauntless Cathar from your graveyard: Create a 1/1 white Spirit creature token with flying. Activate this ability only any time you could cast a sorcery.
409853|Dead Weight|SOI|Enchantment - Aura|C|B|1||||Enchant creature  Enchanted creature gets -2/-2.
409960|Deathcap Cultivator|SOI|Creature - Human Druid|R|1G|2|2|1||T: Add B or G to your mana pool.  Delirium - Deathcap Cultivator has deathtouch as long as there are four or more card types among cards in your graveyard.
409750|Declaration in Stone|SOI|Sorcery|R|1W|2||||Exile target creature and all other creatures its controller controls with the same name as that creature. That player investigates for each nontoken creature exiled this way.
409869|Demon-Possessed Witch|SOI|Creature - Human Shaman|U||0|4|3||When this creature transforms into Demon-Possessed Witch, you may destroy target creature.
409798|Deny Existence|SOI|Instant|C|2U|3||||Counter target creature spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.
409751|Descend upon the Sinful|SOI|Sorcery|M|4WW|6||||Exile all creatures.  Delirium - Create a 4/4 white Angel creature token with flying if there are four or more card types among cards in your graveyard.
409903|Devils' Playground|SOI|Sorcery|R|4RR|6||||"Create four 1/1 red Devil creature tokens. They have ""When this creature dies, it deals 1 damage to target creature or player."""
409752|Devilthorn Fox|SOI|Creature - Fox|C|1W|2|3|1||
409854|Diregraf Colossus|SOI|Creature - Zombie Giant|R|2B|3|2|2||Diregraf Colossus enters the battlefield with a +1/+1 counter on it for each Zombie card in your graveyard.  Whenever you cast a Zombie spell, create a tapped 2/2 black Zombie creature token.
409904|Dissension in the Ranks|SOI|Instant|U|3RR|5||||Target blocking creature fights another target blocking creature.
409753|Drogskol Cavalry|SOI|Creature - Spirit Knight|R|5WW|7|4|4||Flying  Whenever another Spirit enters the battlefield under your control, you gain 2 life.  3W: Create a 1/1 white Spirit creature token with flying.
409799|Drownyard Explorers|SOI|Creature - Human Wizard|C|3U|4|2|4||"When Drownyard Explorers enters the battlefield, investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
410039|Drownyard Temple|SOI|Land|R||0||||T: Add C to your mana pool.  3: Return Drownyard Temple from your graveyard to the battlefield tapped.
409800|Drunau Corpse Trawler|SOI|Creature - Zombie|U|3U|4|1|1||When Drunau Corpse Trawler enters the battlefield, create a 2/2 black Zombie creature token.  2B: Target Zombie gains deathtouch until end of turn.
409905|Dual Shot|SOI|Instant|C|R|1||||Dual Shot deals 1 damage to each of up to two target creatures.
409961|Duskwatch Recruiter|SOI|Creature - Human Warrior Werewolf|U|1G|2|2|2||2G: Look at the top three cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.  At the beginning of each upkeep, if no spells were cast last turn, transform Duskwatch Recruiter.
409754|Eerie Interlude|SOI|Instant|R|2W|3||||Exile any number of target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.
409855|Elusive Tormentor|SOI|Creature - Vampire Wizard|R|2BB|4|4|4||1, Discard a card: Transform Elusive Tormentor.
409906|Ember-Eye Wolf|SOI|Creature - Wolf|C|1R|2|1|2||Haste  1R: Ember-Eye Wolf gets +2/+0 until end of turn.
409755|Emissary of the Sleepless|SOI|Creature - Spirit|C|4W|5|2|4||Flying  When Emissary of the Sleepless enters the battlefield, if a creature died this turn, create a 1/1 white Spirit creature token with flying.
409801|Engulf the Shore|SOI|Instant|R|3U|4||||Return to their owners' hands all creatures with toughness less than or equal to the number of Islands you control.
409802|Epiphany at the Drownyard|SOI|Instant|R|XU|1||||Reveal the top X plus one cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.
410019|Epitaph Golem|SOI|Artifact Creature - Golem|U|5|5|3|5||2: Put target card from your graveyard on the bottom of your library.
409963|Equestrian Skill|SOI|Enchantment - Aura|C|3G|4||||Enchant creature  Enchanted creature gets +3/+3.  As long as enchanted creature is a Human, it has trample.
409803|Erdwal Illuminator|SOI|Creature - Spirit|U|1U|2|1|3||Flying  Whenever you investigate for the first time each turn, investigate an additional time.
409804|Essence Flux|SOI|Instant|U|U|1||||Exile target creature you control, then return that card to the battlefield under its owner's control. If it's a Spirit, put a +1/+1 counter on it.
409756|Ethereal Guidance|SOI|Sorcery|C|2W|3||||Creatures you control get +2/+1 until end of turn.
409857|Ever After|SOI|Sorcery|R|4BB|6||||Return up to two target creature cards from your graveyard to the battlefield. Each of those creatures is a black Zombie in addition to its other colors and types. Put Ever After on the bottom of its owner's library.
410020|Explosive Apparatus|SOI|Artifact|C|1|1||||3, T, Sacrifice Explosive Apparatus: Explosive Apparatus deals 2 damage to target creature or player.
409757|Expose Evil|SOI|Instant|C|1W|2||||"Tap up to two target creatures.  Investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409907|Falkenrath Gorger|SOI|Creature - Vampire Berserker|R|R|1|2|1||Each Vampire creature card you own that isn't on the battlefield has madness. The madness cost is equal to its mana cost. (If you discard a card with madness, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
409858|Farbog Revenant|SOI|Creature - Spirit|C|2B|3|1|3||Skulk (This creature can't be blocked by creatures with greater power.)  Lifelink (Damage dealt by this creature also causes you to gain that much life.)
410009|Fevered Visions|SOI|Enchantment|R|1UR|3||||At the beginning of each player's end step, that player draws a card. If the player is your opponent and has four or more cards in hand, Fevered Visions deals 2 damage to him or her.
409908|Fiery Temper|SOI|Instant|C|1RR|3||||Fiery Temper deals 3 damage to target creature or player.  Madness R (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
409909|Flameblade Angel|SOI|Creature - Angel|R|4RR|6|4|4||Flying  Whenever a source an opponent controls deals damage to you or a permanent you control, you may have Flameblade Angel deal 1 damage to that source's controller.
409924|Flameheart Werewolf|SOI|Creature - Werewolf|U||0|3|2||Whenever Flameheart Werewolf blocks or becomes blocked by a creature, Flameheart Werewolf deals 2 damage to that creature.  At the beginning of each upkeep, if a player cast two or more spells last turn, transform Flameheart Werewolf.
409805|Fleeting Memories|SOI|Enchantment|U|2U|3||||"When Fleeting Memories enters the battlefield, investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")  Whenever you sacrifice a Clue, target player puts the top three cards of his or her library into his or her graveyard."
410040|Foreboding Ruins|SOI|Land|R||0||||As Foreboding Ruins enters the battlefield, you may reveal a Swamp or Mountain card from your hand. If you don't, Foreboding Ruins enters the battlefield tapped.  T: Add B or R to your mana pool.
410064|Forest|SOI|Basic Land - Forest|C||0||||G
409806|Forgotten Creation|SOI|Creature - Zombie Horror|R|3U|4|3|3||Skulk (This creature can't be blocked by creatures with greater power.)  At the beginning of your upkeep, you may discard all the cards in your hand. If you do, draw that many cards.
409964|Fork in the Road|SOI|Sorcery|C|1G|2||||Search your library for up to two basic land cards and reveal them. Put one into your hand and the other into your graveyard. Then shuffle your library.
410041|Forsaken Sanctuary|SOI|Land|U||0||||Forsaken Sanctuary enters the battlefield tapped.  T: Add W or B to your mana pool.
410042|Fortified Village|SOI|Land|R||0||||As Fortified Village enters the battlefield, you may reveal a Forest or Plains card from your hand. If you don't, Fortified Village enters the battlefield tapped.  T: Add G or W to your mana pool.
410043|Foul Orchard|SOI|Land|U||0||||Foul Orchard enters the battlefield tapped.  T: Add B or G to your mana pool.
409859|From Under the Floorboards|SOI|Sorcery|R|3BB|5||||Madness XBB (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)  Create three tapped 2/2 black Zombie creature tokens and you gain 3 life. If From Under the Floorboards's madness cost was paid, instead create X of those tokens and you gain X life.
409807|Furtive Homunculus|SOI|Creature - Homunculus|C|1U|2|2|1||Skulk (This creature can't be blocked by creatures with greater power.)
410044|Game Trail|SOI|Land|R||0||||As Game Trail enters the battlefield, you may reveal a Mountain or Forest card from your hand. If you don't, Game Trail enters the battlefield tapped.  T: Add R or G to your mana pool.
409910|Gatstaf Arsonists|SOI|Creature - Human Werewolf|C|4R|5|5|4||At the beginning of each upkeep, if no spells were cast last turn, transform Gatstaf Arsonists.
409911|Gatstaf Ravagers|SOI|Creature - Werewolf|C||0|6|5||Menace (This creature can't be blocked except by two or more creatures.)  At the beginning of each upkeep, if a player cast two or more spells last turn, transform Gatstaf Ravagers.
409912|Geier Reach Bandit|SOI|Creature - Human Rogue Werewolf|R|2R|3|3|2||Haste  At the beginning of each upkeep, if no spells were cast last turn, transform Geier Reach Bandit.
409914|Geistblast|SOI|Instant|U|2R|3||||Geistblast deals 2 damage to target creature or player.  2U, Exile Geistblast from your graveyard: Copy target instant or sorcery spell you control. You may choose new targets for the copy.
409808|Geralf's Masterpiece|SOI|Creature - Zombie Horror|M|3UU|5|7|7||Flying  Geralf's Masterpiece gets -1/-1 for each card in your hand.  3U, Discard three cards: Return Geralf's Masterpiece from your graveyard to the battlefield tapped.
409809|Ghostly Wings|SOI|Enchantment - Aura|C|1U|2||||Enchant creature  Enchanted creature gets +1/+1 and has flying.  Discard a card: Return enchanted creature to its owner's hand.
409860|Ghoulcaller's Accomplice|SOI|Creature - Human Rogue|C|1B|2|2|2||3B, Exile Ghoulcaller's Accomplice from your graveyard: Create a 2/2 black Zombie creature token. Activate this ability only any time you could cast a sorcery.
409861|Ghoulsteed|SOI|Creature - Zombie Horse|U|4B|5|4|4||2B, Discard two cards: Return Ghoulsteed from your graveyard to the battlefield tapped.
409915|Gibbering Fiend|SOI|Creature - Devil|U|1R|2|2|1||When Gibbering Fiend enters the battlefield, it deals 1 damage to each opponent.  Delirium - At the beginning of each opponent's upkeep, if there are four or more card types among cards in your graveyard, Gibbering Fiend deals 1 damage to that player.
409862|Gisa's Bidding|SOI|Sorcery|U|2BB|4||||Create two 2/2 black Zombie creature tokens.  Madness 2B (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
409965|Gloomwidow|SOI|Creature - Spider|U|2G|3|3|3||Reach  Gloomwidow can block only creatures with flying.
409916|Goldnight Castigator|SOI|Creature - Angel|M|2RR|4|4|9||Flying, haste  If a source would deal damage to you, it deals double that damage to you instead.  If a source would deal damage to Goldnight Castigator, it deals double that damage to Goldnight Castigator instead.
409810|Gone Missing|SOI|Sorcery|C|4U|5||||"Put target permanent on top of its owner's library.  Investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409966|Graf Mole|SOI|Creature - Mole Beast|U|2G|3|2|4||Whenever you sacrifice a Clue, you gain 3 life.
409863|Grotesque Mutation|SOI|Instant|C|1B|2||||Target creature gets +3/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
409967|Groundskeeper|SOI|Creature - Human Druid|U|G|1|1|1||1G: Return target basic land card from your graveyard to your hand.
409758|Gryff's Boon|SOI|Enchantment - Aura|U|W|1||||Enchant creature  Enchanted creature gets +1/+0 and has flying.  3W: Return Gryff's Boon from your graveyard to the battlefield attached to target creature. Activate this ability only any time you could cast a sorcery.
409759|Hanweir Militia Captain|SOI|Creature - Human Soldier|R|1W|2|2|2||At the beginning of your upkeep, if you control four or more creatures, transform Hanweir Militia Captain.
409917|Harness the Storm|SOI|Enchantment|R|2R|3||||Whenever you cast an instant or sorcery spell from your hand, you may cast target card with the same name as that spell from your graveyard. (You still pay its costs.)
410021|Harvest Hand|SOI|Artifact Creature - Scarecrow|U|3|3|2|2||When Harvest Hand dies, return it to the battlefield transformed under your control.
410023|Haunted Cloak|SOI|Artifact - Equipment|U|3|3||||Equipped creature has vigilance, trample, and haste.  Equip 1
409864|Heir of Falkenrath|SOI|Creature - Vampire|U|1B|2|2|1||Discard a card: Transform Heir of Falkenrath. Activate this ability only once each turn.
409865|Heir to the Night|SOI|Creature - Vampire Berserker|U||0|3|2||Flying
409968|Hermit of the Natterknolls|SOI|Creature - Human Werewolf|U|2G|3|2|3||Whenever an opponent casts a spell during your turn, draw a card.  At the beginning of each upkeep, if no spells were cast last turn, transform Hermit of the Natterknolls.
410045|Highland Lake|SOI|Land|U||0||||Highland Lake enters the battlefield tapped.  T: Add U or R to your mana pool.
409970|Hinterland Logger|SOI|Creature - Human Werewolf|C|1G|2|2|1||At the beginning of each upkeep, if no spells were cast last turn, transform Hinterland Logger.
409761|Hope Against Hope|SOI|Enchantment - Aura|U|2W|3||||Enchant creature  Enchanted creature gets +1/+1 for each creature you control.  As long as enchanted creature is a Human, it has first strike.
409866|Hound of the Farbogs|SOI|Creature - Zombie Hound|C|4B|5|5|3||Delirium - Hound of the Farbogs has menace as long as there are four or more card types among cards in your graveyard. (A creature with menace can't be blocked except by two or more creatures.)
409972|Howlpack Resurgence|SOI|Enchantment|U|2G|3||||Flash (You may cast this spell any time you could cast an instant.)  Each creature you control that's a Wolf or a Werewolf gets +1/+1 and has trample.
409918|Howlpack Wolf|SOI|Creature - Wolf|C|2R|3|3|3||Howlpack Wolf can't block unless you control another Wolf or Werewolf.
409919|Hulking Devil|SOI|Creature - Devil|C|3R|4|5|2||
409762|Humble the Brute|SOI|Instant|U|4W|5||||"Destroy target creature with power 4 or greater.  Investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409787|Incited Rabble|SOI|Creature - Human|U||0|2|3||Incited Rabble attacks each combat if able.  2: Incited Rabble gets +1/+0 until end of turn.
409920|Incorrigible Youths|SOI|Creature - Vampire|U|3RR|5|4|3||Haste  Madness 2R (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
409867|Indulgent Aristocrat|SOI|Creature - Vampire|U|B|1|1|1||Lifelink  2, Sacrifice a creature: Put a +1/+1 counter on each Vampire you control.
409973|Inexorable Blob|SOI|Creature - Ooze|R|2G|3|3|3||Delirium - Whenever Inexorable Blob attacks, if there are four or more card types among cards in your graveyard, create a 3/3 green Ooze creature token that's tapped and attacking.
409844|Infectious Curse|SOI|Enchantment - Aura Curse|U||0||||Enchant player  Spells you cast that target enchanted player cost 1 less to cast.  At the beginning of enchanted player's upkeep, that player loses 1 life and you gain 1 life.
409921|Inner Struggle|SOI|Instant|U|3R|4||||Target creature deals damage to itself equal to its power.
409763|Inquisitor's Ox|SOI|Creature - Ox|C|3W|4|2|5||Delirium - Inquisitor's Ox gets +1/+0 and has vigilance as long as there are four or more card types among cards in your graveyard.
409856|Insidious Mist|SOI|Creature - Elemental|R||0|0|1||Hexproof, indestructible  Insidious Mist can't block and can't be blocked.  Whenever Insidious Mist attacks and isn't blocked, you may pay 2B. If you do, transform it.
409922|Insolent Neonate|SOI|Creature - Vampire|C|R|1|1|1||Menace (This creature can't be blocked except by two or more creatures.)  Discard a card, Sacrifice Insolent Neonate: Draw a card.
409764|Inspiring Captain|SOI|Creature - Human Knight|C|3W|4|3|3||When Inspiring Captain enters the battlefield, creatures you control get +1/+1 until end of turn.
409974|Intrepid Provisioner|SOI|Creature - Human Scout|C|3G|4|3|3||Trample  When Intrepid Provisioner enters the battlefield, another target Human you control gets +2/+2 until end of turn.
409811|Invasive Surgery|SOI|Instant|U|U|1||||Counter target sorcery spell.  Delirium - If there are four or more card types among cards in your graveyard, search the graveyard, hand, and library of that spell's controller for any number of cards with the same name as that spell, exile those cards, then that player shuffles his or her library.
410011|Invocation of Saint Traft|SOI|Enchantment - Aura|R|1WU|3||||"Enchant creature  Enchanted creature has ""Whenever this creature attacks, create a 4/4 white Angel creature token with flying that's tapped and attacking. Exile that token at end of combat."""
410055|Island|SOI|Basic Land - Island|C||0||||U
409812|Jace, Unraveler of Secrets|SOI|Planeswalker - Jace|M|3UU|5|||5|"+1: Scry 1, then draw a card.  -2: Return target creature to its owner's hand.  -8: You get an emblem with ""Whenever an opponent casts his or her first spell each turn, counter that spell."""
409813|Jace's Scrutiny|SOI|Instant|C|1U|2||||"Target creature gets -4/-0 until end of turn.  Investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409814|Just the Wind|SOI|Instant|C|1U|2||||Return target creature to its owner's hand.  Madness U (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
409975|Kessig Dire Swine|SOI|Creature - Boar Horror|C|4GG|6|6|6||Delirium - Kessig Dire Swine has trample as long as there are four or more card types among cards in your graveyard.
409923|Kessig Forgemaster|SOI|Creature - Human Shaman Werewolf|U|1R|2|2|1||Whenever Kessig Forgemaster blocks or becomes blocked by a creature, Kessig Forgemaster deals 1 damage to that creature.  At the beginning of each upkeep, if no spells were cast last turn, transform Kessig Forgemaster.
409868|Kindly Stranger|SOI|Creature - Human|U|2B|3|2|3||Delirium - 2B: Transform Kindly Stranger. Activate this ability only if there are four or more card types among cards in your graveyard.
409962|Krallenhorde Howler|SOI|Creature - Werewolf|U||0|3|3||Creature spells you cast cost 1 less to cast.  At the beginning of each upkeep, if a player cast two or more spells last turn, transform Krallenhorde Howler.
409977|Lambholt Butcher|SOI|Creature - Werewolf|U||0|4|4||At the beginning of each upkeep, if a player cast two or more spells last turn, transform Lambholt Butcher.
409976|Lambholt Pacifist|SOI|Creature - Human Shaman Werewolf|U|1G|2|3|3||Lambholt Pacifist can't attack unless you control a creature with power 4 or greater.  At the beginning of each upkeep, if no spells were cast last turn, transform Lambholt Pacifist.
409815|Lamplighter of Selhoff|SOI|Creature - Zombie Horror|C|4U|5|3|5||When Lamplighter of Selhoff enters the battlefield, if you control another Zombie, you may draw a card. If you do, discard a card.
409925|Lightning Axe|SOI|Instant|U|R|1||||As an additional cost to cast Lightning Axe, discard a card or pay 5.  Lightning Axe deals 5 damage to target creature.
409870|Liliana's Indignation|SOI|Sorcery|U|XB|1||||Put the top X cards of your library into your graveyard. Target player loses 2 life for each creature card put into your graveyard this way.
409978|Loam Dryad|SOI|Creature - Dryad Horror|C|G|1|1|2||T, Tap an untapped creature you control: Add one mana of any color to your mana pool.
409969|Lone Wolf of the Natterknolls|SOI|Creature - Werewolf|U||0|3|5||Whenever an opponent casts a spell during your turn, draw two cards.  At the beginning of each upkeep, if a player cast two or more spells last turn, transform Lone Wolf of the Natterknolls.
409744|Lunarch Inquisitors|SOI|Creature - Human Cleric|U||0|4|4||When this creature transforms into Lunarch Inquisitors, you may exile another target creature until Lunarch Inquisitors leaves the battlefield.
409871|Macabre Waltz|SOI|Sorcery|C|1B|2||||Return up to two target creature cards from your graveyard to your hand, then discard a card.
409926|Mad Prophet|SOI|Creature - Human Shaman|U|3R|4|2|2||Haste  T, Discard a card: Draw a card.
409927|Magmatic Chasm|SOI|Sorcery|C|1R|2||||Creatures without flying can't block this turn.
410024|Magnifying Glass|SOI|Artifact|U|3|3||||"T: Add C to your mana pool.  4, T: Investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")"
409928|Malevolent Whispers|SOI|Sorcery|U|3R|4||||Gain control of target creature until end of turn. Untap that creature. It gets +2/+0 and gains haste until end of turn.   Madness 3R (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
409816|Manic Scribe|SOI|Creature - Human Wizard|U|1U|2|0|3||When Manic Scribe enters the battlefield, each opponent puts the top three cards of his or her library into his or her graveyard.  Delirium - At the beginning of each opponent's upkeep, if there are four or more card types among cards in your graveyard, that player puts the top three cards of his or her library into his or her graveyard.
409872|Markov Dreadknight|SOI|Creature - Vampire Knight|R|3BB|5|3|3||Flying  2B, Discard a card: Put two +1/+1 counters on Markov Dreadknight.
409873|Merciless Resolve|SOI|Instant|C|2B|3||||As an additional cost to cast Merciless Resolve, sacrifice a creature or land.  Draw two cards.
409979|Might Beyond Reason|SOI|Instant|C|3G|4||||Put two +1/+1 counters on target creature.  Delirium - Put three +1/+1 counters on that creature instead if there are four or more card types among cards in your graveyard.
409765|Militant Inquisitor|SOI|Creature - Human Cleric|C|2W|3|2|3||Militant Inquisitor gets +1/+0 for each Equipment you control.
409874|Mindwrack Demon|SOI|Creature - Demon|M|2BB|4|4|5||Flying, trample  When Mindwrack Demon enters the battlefield, put the top four cards of your library into your graveyard.  Delirium - At the beginning of your upkeep, you lose 4 life unless there are four or more card types among cards in your graveyard.
409980|Moldgraf Scavenger|SOI|Creature - Fungus|C|1G|2|0|4||Delirium - Moldgraf Scavenger gets +3/+0 as long as there are four or more card types among cards in your graveyard.
409981|Moonlight Hunt|SOI|Instant|U|1G|2||||Choose target creature you don't control. Each creature you control that's a Wolf or a Werewolf deals damage equal to its power to that creature.
409947|Moonrise Intruder|SOI|Creature - Werewolf|U||0|2|2||Menace (This creature can't be blocked except by two or more creatures.)  At the beginning of each upkeep, if a player cast two or more spells last turn, transform Moonrise Intruder.
409766|Moorland Drifter|SOI|Creature - Spirit|C|1W|2|2|2||Delirium - Moorland Drifter has flying as long as there are four or more card types among cards in your graveyard.
409875|Morkrut Necropod|SOI|Creature - Slug Horror|U|5B|6|7|7||Menace (This creature can't be blocked except by two or more creatures.)  Whenever Morkrut Necropod attacks or blocks, sacrifice another creature or land.
410061|Mountain|SOI|Basic Land - Mountain|C||0||||R
410025|Murderer's Axe|SOI|Artifact - Equipment|U|4|4||||Equipped creature gets +2/+2.  Equip-Discard a card.
409876|Murderous Compulsion|SOI|Sorcery|C|1B|2||||Destroy target tapped creature.  Madness 1B (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
409817|Nagging Thoughts|SOI|Sorcery|C|1U|2||||Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.  Madness 1U (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
410012|Nahiri, the Harbinger|SOI|Planeswalker - Nahiri|M|2RW|4|||4|+2: You may discard a card. If you do, draw a card.  -2: Exile target enchantment, tapped artifact, or tapped creature.  -8: Search your library for an artifact or creature card, put it onto the battlefield, then shuffle your library. It gains haste. Return it to your hand at the beginning of the next end step.
409767|Nahiri's Machinations|SOI|Enchantment|U|1W|2||||At the beginning of combat on your turn, target creature you control gains indestructible until end of turn.  1R: Nahiri's Machinations deals 1 damage to target blocking creature.
409768|Nearheath Chaplain|SOI|Creature - Human Cleric|U|3W|4|3|1||Lifelink  2W, Exile Nearheath Chaplain from your graveyard: Create two 1/1 white Spirit creature tokens with flying. Activate this ability only any time you could cast a sorcery.
409898|Neck Breaker|SOI|Creature - Werewolf|U||0|4|3||Attacking creatures you control get +1/+0 and have trample.  At the beginning of each upkeep, if a player cast two or more spells last turn, transform Neck Breaker.
410026|Neglected Heirloom|SOI|Artifact - Equipment|U|1|1||||Equipped creature gets +1/+1.  When equipped creature transforms, transform Neglected Heirloom.  Equip 1
409818|Nephalia Moondrakes|SOI|Creature - Drake|R|5UU|7|5|5||Flying  When Nephalia Moondrakes enters the battlefield, target creature gains flying until end of turn.  4UU, Exile Nephalia Moondrakes from your graveyard: Creatures you control gain flying until end of turn.
409819|Niblis of Dusk|SOI|Creature - Spirit|C|2U|3|2|1||Flying  Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
409769|Not Forgotten|SOI|Sorcery|U|1W|2||||Put target card from a graveyard on the top or bottom of its owner's library. Create a 1/1 white Spirit creature token with flying.
409982|Obsessive Skinner|SOI|Creature - Human Rogue|U|1G|2|1|1||When Obsessive Skinner enters the battlefield, put a +1/+1 counter on target creature.  Delirium - At the beginning of each opponent's upkeep, if there are four or more card types among cards in your graveyard, put a +1/+1 counter on target creature.
409770|Odric, Lunarch Marshal|SOI|Legendary Creature - Human Soldier|R|3W|4|3|3||At the beginning of each combat, creatures you control gain first strike until end of turn if a creature you control has first strike. The same is true for flying, deathtouch, double strike, haste, hexproof, indestructible, lifelink, menace, reach, skulk, trample, and vigilance.
410013|Olivia, Mobilized for War|SOI|Legendary Creature - Vampire Knight|M|1BR|3|3|3||Flying  Whenever another creature enters the battlefield under your control, you may discard a card. If you do, put a +1/+1 counter on that creature, it gains haste until end of turn, and it becomes a Vampire in addition to its other types.
409877|Olivia's Bloodsworn|SOI|Creature - Vampire Soldier|U|1B|2|2|1||Flying  Olivia's Bloodsworn can't block.  R: Target Vampire gains haste until end of turn.
409993|One of the Pack|SOI|Creature - Werewolf|C||0|5|6||At the beginning of each upkeep, if a player cast two or more spells last turn, transform One of the Pack.
409820|Ongoing Investigation|SOI|Enchantment|U|1U|2||||"Whenever one or more creatures you control deal combat damage to a player, investigate. (Create a colorless Clue artifact token with ""2, Sacrifice this artifact: Draw a card."")  1G, Exile a creature card from your graveyard: Investigate. You gain 2 life."
